obs,id,time..2,elapsed,date,hhmmss,averaging,TIME..7,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo..38,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID..64,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID..72,Duration,Fo..74,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME..90,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..141,hhmmss..142,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_hum,AccH2O_des,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
31,r2_hn_yi,1634316754,5399.6,10/15/21 11:52,11:52:34,none,1634316754,0.002940645,2.94064471,8.961430094,393.985,268.3941178,24.43754235,35.87271287,0.129400142,2.752045423,0.126112572,0.079108776,241.7364059,27.37149111,26.4207,3.459176708,39.67013139,1.392651764,3.510580165,2.066524944,-129.6824317,37.1365787,2.898995211,152.0895481,2,0,1,0,47767.2734,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-133-20211015-11_52_34,10392,2025.3888,2319.51,0.126803161,0.5,1261.203,8.961430094,79.96226354,0.007898356,-1,NA,-,0,NA,NA,NA,NA,0.126803161,NA,NA,NA,133,300,300,300,10392,2257.9,-0.00737817,-12.03,-,-,-,-,-,-,-,-,-,-,1499.99,1261.203,0.840807605,0.161158678,6,0.5,0: Broadleaf,2,1634316754,393.985,400.057,15.2953,13.5579,389.243,16.0593,1000,90.9468,0.104161,26.671,26.4207,999.9,0,0,9918.75,0,22.7436,-6.07181,400.105,405.555,1.73739,400.057,13.5579,1.39106,1.23305,11.8205,10.0066,1499.99,0.972992,0.0270084,0,2021.38,5.00005,30238.6,12458,41.687,43.625,42.812,43.125,43.812,1454.61,40.38,0,950.5999999,0,2025.3888,-30.11923081,-469.3153853,30294.224,15,1634316718,11:51:57,1634316712,1634316718,32,0.125,-0.002,4.742,-0.764,400,14,0.33,0.07,-6.11722825,-0.076194484,0.046809826,1,1.736298,0.015913171,0.001906355,1,2,2,2-Feb,3.82285,2.70668,0.0871991,0.0889918,0.0783128,0.0689368,26696.3,22477.2,26256.5,24074.4,41323,36989,47475.9,42912.5,2.6895,1.72792,0.146419,0,24.0192,999.9,39.391,27.241,15.7231,56.121,48.5377,3,-0.220084,-0.532819,20.2467,5.23496,11.986,4.95645,3.304,1035.2,9999,2722.8,14,1.86814,1.86385,1.87149,1.86222,1.86173,1.86822,1.85837,1.86478,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.742,-0.764,4.74185,0,0,0,-0.76399,0,0,0,-1,-1,-1,-1,0.7,0.6,1.51489,2.31934,2.64893,2.89795,2.84424,2.31812,32.3549,15.3491,18,1185.94,359.723,25,24.5208,30,24.4421,24.3867,30.3576,0,100,25,400,22.444,109.787,99.9399
32,r2_hn_yi,1634316871,5516.6,10/15/21 11:54,11:54:31,none,1634316871,0.00301682,3.016820283,7.229167652,295.162,196.769756,17.91658029,26.87554114,0.132565683,2.773072539,0.129143022,0.081014541,241.7268299,27.35194668,26.4371,3.462524497,39.6422774,1.392190217,3.511882537,2.07033428,-133.0417745,35.91035318,2.782332391,147.377741,2,0,1,0,48339.22104,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-134-20211015-11_54_31,10391.4,1968.923846,2245.79,0.123282299,0.5,1261.1526,7.229167652,77.73889584,0.006525117,-1,NA,-,0,NA,NA,NA,NA,0.123282299,NA,NA,NA,134,300,300,300,10391.4,2190.91,-0.00737766,-10.14,-,-,-,-,-,-,-,-,-,-,1499.93,1261.1526,0.840807638,0.161158741,6,0.5,0: Broadleaf,2,1634316871,295.162,300.034,15.2898,13.5073,290.883,16.0521,999.953,90.9491,0.104427,26.6773,26.4371,999.9,0,0,10042.5,0,22.7575,-4.87244,299.745,304.142,1.78254,300.034,13.5073,1.39059,1.22847,11.8154,9.95115,1499.93,0.972992,0.0270084,0,1965.82,5.00005,29403.7,12457.5,41.75,43.625,42.812,43.125,43.812,1454.55,40.38,0,116.3999999,0,1968.923846,-23.51111112,-340.2393162,29448.66154,15,1634316844,11:54:03,1634316844,1634316840,33,-0.462,0.002,4.279,-0.762,300,14,0.36,0.06,-4.860576,-0.057161426,0.035076918,1,1.778473,0.028895235,0.002891886,1,2,2,2-Feb,3.82278,2.70802,0.0691561,0.0709352,0.0782887,0.0687482,27221.7,22922,26254.4,24073.9,41320.5,36995.2,47472.3,42911.5,2.68932,1.71732,0.147939,0,24.0107,999.9,39.293,27.251,15.6932,55.581,48.7139,3,-0.219756,-0.522113,20.2468,5.23481,11.986,4.95755,3.304,1038.5,9999,2722.8,14,1.86815,1.86386,1.87149,1.86224,1.86174,1.86819,1.85837,1.86479,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.279,-0.7623,4.279428571,0,0,0,-0.762265,0,0,0,-1,-1,-1,-1,0.5,0.5,1.20483,2.32422,2.64893,2.89795,2.84424,2.32422,32.3549,15.3404,18,1185.72,354.397,25,24.5216,30,24.4421,24.3867,24.1731,0,100,25,300,22.444,109.779,99.9376
33,r2_hn_yi,1634316952,5597.6,10/15/21 11:55,11:55:52,none,1634316952,0.003098975,3.098975208,4.99381017,196.642,130.4411732,11.8766233,17.90418547,0.136043356,2.770686008,0.132438376,0.083089921,241.7645549,27.3520026,26.453,3.46577292,39.58897287,1.392103639,3.516392414,2.073669281,-136.6648067,36.76075045,2.851212647,144.7117113,0,0,1,0,48270.4981,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-135-20211015-11_55_52,10390.7,1922.726,2185.24,0.120130512,0.5,1261.3539,4.99381017,75.7635449,0.004751886,-1,NA,-,0,NA,NA,NA,NA,0.120130512,NA,NA,NA,135,300,300,300,10390.7,2134.29,-0.00737719,-8.56,-,-,-,-,-,-,-,-,-,-,1500.17,1261.3539,0.840807308,0.161158105,6,0.5,0: Broadleaf,2,1634316952,196.642,200.004,15.2895,13.4585,192.965,16.0575,999.976,90.9453,0.104351,26.6991,26.453,999.9,0,0,10028.8,0,22.7575,-2.75978,200.308,202.733,1.83672,200.004,13.4585,1.39103,1.22398,11.8201,9.89651,1500.17,0.972997,0.0270027,0,1922.29,5.00005,28746,12459.5,41.75,43.625,42.812,43.187,43.812,1454.8,40.37,0,80.79999995,0,1922.726,-3.334615377,-40.02307719,28748.328,15,1634316982,11:56:21,1634316970,1634316982,34,-0.602,-0.006,3.677,-0.768,200,13,0.32,0.08,-2.75861425,-0.067558537,0.032844944,1,1.829225,0.042300788,0.00412997,1,2,2,2-Feb,3.82281,2.70782,0.0486421,0.0502772,0.0783049,0.0685622,27820.3,23431.8,26253.3,24074.2,41317.8,37002.6,47470.8,42911.9,2.69333,1.7173,0.146352,0,24.0527,999.9,39.171,27.251,15.6457,55.941,48.746,3,-0.219411,-0.525814,20.2468,5.23496,11.986,4.95715,3.304,1041,9999,2722.8,14.1,1.86813,1.86385,1.87149,1.86221,1.86172,1.86817,1.85837,1.86479,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.677,-0.768,4.279428571,0,0,0,-0.762265,0,0,0,-1,-1,-1,-1,1.8,1.9,0.877686,2.33887,2.64893,2.89795,2.84424,2.30347,32.3549,15.3228,18,1190.83,354.372,25,24.5232,30.0001,24.4421,24.3847,17.6113,0,100,25,200,22.444,109.775,99.9386
34,r2_hn_yi,1634317062,5707.6,10/15/21 11:57,11:57:42,none,1634317062,0.003239748,3.239747574,2.03495196,98.5598,72.06322169,6.561881676,8.974588291,0.142991343,2.769969054,0.139013531,0.08723163,241.7070989,27.30932902,26.4256,3.460176666,39.67002255,1.394633454,3.51558523,2.065543212,-142.872868,40.26060051,3.122984527,142.217816,0,0,1,0,48251.7192,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-136-20211015-11_57_42,10390.1,1854.4528,2088.94,0.112251764,0.5,1261.0515,2.03495196,70.77762772,0.002406684,-1,NA,-,0,NA,NA,NA,NA,0.112251764,NA,NA,NA,136,300,300,300,10390.1,2043.69,-0.00737664,-6.05,-,-,-,-,-,-,-,-,-,-,1499.81,1261.0515,0.840807502,0.161158479,6,0.5,0: Broadleaf,2,1634317062,98.5598,99.9723,15.316,13.402,95.2348,16.086,1000.04,90.9522,0.10509,26.6952,26.4256,999.9,0,0,10023.8,0,22.7019,-1.06017,100.451,101.33,1.91584,99.9723,13.402,1.39319,1.21894,11.8437,9.8349,1499.81,0.972992,0.0270084,0,1854.04,5.00005,27700.6,12456.5,41.687,43.562,42.75,43.062,43.75,1454.44,40.37,0,109.3999999,0,1854.4528,-4.248461532,-75.85384637,27712.936,15,1634317085,11:58:05,1634317080,1634317085,35,-0.352,-0.001,3.325,-0.77,100,13,0.36,0.05,-1.07280925,-0.02659621,0.017964843,1,1.9075525,0.044541388,0.004464099,1,2,2,2-Feb,3.82289,2.70852,0.0251684,0.0264637,0.0784147,0.0683551,28505.4,24019.5,26252,24074.3,41310.2,37011.2,47468.5,42912.9,2.69315,1.71633,0.142813,0,24.0833,999.9,39.025,27.251,15.5854,55.951,48.7139,3,-0.220262,-0.529434,20.2466,5.23391,11.986,4.9573,3.304,1044.3,9999,2722.8,14.1,1.86814,1.86386,1.87149,1.86224,1.86173,1.86817,1.85837,1.8648,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.325,-0.77,3.677333333,0,0,0,-0.768180952,0,0,0,-1,-1,-1,-1,1.5,1.3,0.531006,2.36572,2.64893,2.89795,2.84424,2.31934,32.3549,15.3053,18,1190.47,353.858,25.0002,24.5167,30.0002,24.436,24.3806,10.6684,0,100,25,100,22.444,109.77,99.9403
35,r2_hn_yi,1634317198,5843.1,10/15/21 11:59,11:59:57,none,1634317198,0.003433977,3.433976926,0.205291272,49.7613,45.78246228,4.168757447,4.531053587,0.152406852,2.765502176,0.147889784,0.092825804,241.7310389,27.26829026,26.4117,3.457340708,39.7801407,1.399427054,3.517903732,2.057913654,-151.4383825,43.93792911,3.413691148,137.6442767,0,0,1,0,48128.0969,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-137-20211015-11_59_57,10388.9,1749.7812,1944.21,0.100004012,0.5,1261.1775,0.205291272,63.06140486,0.000955687,-1,NA,-,0,NA,NA,NA,NA,0.100004012,NA,NA,NA,137,300,300,300,10388.9,1912.21,-0.00737582,-3.76,-,-,-,-,-,-,-,-,-,-,1499.96,1261.1775,0.840807422,0.161158324,6,0.5,0: Broadleaf,2,1634317198,49.7613,49.987,15.3689,13.3402,46.5142,16.1387,1000.01,90.9514,0.104372,26.7064,26.4117,999.9,0,0,9997.5,0,22.7019,-0.225674,50.538,50.6628,2.02874,49.987,13.3402,1.39783,1.21331,11.8941,9.76588,1499.96,0.972997,0.0270027,0,1745.59,5.00005,26080.3,12457.8,41.687,43.562,42.75,43.062,43.812,1454.59,40.37,0,134.8,0,1749.7812,-35.72769231,-531.6923078,26143.956,15,1634317172,11:59:31,1634317172,1634317169,36,-0.078,0,3.247,-0.77,50,13,0.56,0.05,-0.272282317,-0.075189199,0.024686594,1,2.007426585,0.228743624,0.054805484,1,2,2,2-Feb,3.82285,2.70758,0.0124517,0.0134385,0.0786037,0.0681214,28875.8,24340.8,26250.7,24074.2,41299.2,37019.9,47466.1,42912.6,2.69292,1.71478,0.142213,0,24.0793,999.9,38.896,27.251,15.535,56.341,48.726,3,-0.219992,-0.513058,20.2467,5.23436,11.986,4.95745,3.304,1048.2,9999,2722.8,14.1,1.86815,1.86386,1.87149,1.86227,1.86173,1.8682,1.85837,1.86481,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.247,-0.7698,3.24715,0,0,0,-0.769766667,0,0,0,-1,-1,-1,-1,0.4,0.5,0.355225,2.38525,2.64893,2.89917,2.84424,2.28882,32.377,15.2791,18,1190.19,353.085,25.0001,24.5149,30.0001,24.436,24.3806,7.1562,0,100,25,50,22.444,109.764,99.9396
36,r2_hn_yi,1634317288,5933,10/15/21 12:01,12:01:27,none,1634317288,0.003559567,3.559566543,-2.086730295,-5.5658,15.84024995,1.442343353,-0.50679722,0.158818626,2.766983087,0.153922606,0.096628944,241.7113079,27.23194016,26.3863,3.452163697,39.87313969,1.402574827,3.517593141,2.04958887,-156.9768846,47.52670647,3.690042596,135.9511724,0,0,1,0,48168.71733,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-138-20211015-12_01_27,10385.3,1455.202308,1558.82,0.066471878,0.5,1261.0764,-2.086730295,41.91305808,-0.000861748,-1,NA,-,0,NA,NA,NA,NA,0.066471878,NA,NA,NA,138,300,300,300,10385.3,1534.56,-0.00737307,-2.41,-,-,-,-,-,-,-,-,-,-,1499.84,1261.0764,0.840807286,0.161158062,6,0.5,0: Broadleaf,2,1634317288,-5.5658,-6.8297,15.4035,13.3007,-9.02054,16.1768,1000.02,90.9518,0.103793,26.7049,26.3863,999.9,0,0,10006.2,0,22.7519,1.26391,-5.65287,-6.92177,2.10277,-6.8297,13.3007,1.40098,1.20973,11.9282,9.72178,1499.84,0.973003,0.0269971,0,1425.47,5.00005,21303,12456.8,41.75,43.562,42.75,43.062,43.812,1454.48,40.36,0,89.5999999,0,1455.202308,-235.4249573,-3513.794872,21748.31923,15,1634317262,12:01:01,1634317262,1634317254,37,0.208,-0.004,3.455,-0.773,-7,13,0.4,0.04,1.28844625,-0.016841764,0.023381882,1,2.0918225,0.099988818,0.017115291,1,2,2,2-Feb,3.82287,2.70707,-0.00241636,-0.0018422,0.0787418,0.0679731,29310.4,24719.1,26250.4,24075.4,41291.9,37027.2,47465.4,42914.5,2.6911,1.71373,0.137329,0,24.1341,999.9,38.799,27.261,15.5023,55.441,48.734,3,-0.220696,-0.516503,20.2466,5.23481,11.986,4.95695,3.304,1050.6,9999,2722.8,14.2,1.86827,1.86386,1.8715,1.86233,1.86176,1.86826,1.85837,1.86484,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.455,-0.7733,3.454741,0,0,0,-0.773305,0,0,0,-1,-1,-1,-1,0.4,0.6,0.032959,4.99756,2.64893,2.89795,2.84424,2.31934,32.3991,15.2528,18,1187.75,352.541,24.9997,24.5129,30,24.4319,24.3772,0,0,100,25,0,22.444,109.763,99.9444
37,r2_hn_yi,1634317384,6029.5,10/15/21 12:03,12:03:04,none,1634317384,0.003699344,3.699344072,9.094849753,393.787,291.3829844,26.53108974,35.85521048,0.166523708,2.769264716,0.161154029,0.101189289,241.7645549,27.19565606,26.3379,3.442317577,40.01817526,1.407850601,3.518027975,2.034466977,-163.1410736,55.10537483,4.273945694,138.0028019,0,0,1,0,48230.53515,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-139-20211015-12_03_04,10388.2,1679.25,1914.48,0.122868873,0.5,1261.3539,9.094849753,77.49056608,0.008003186,-1,NA,-,0,NA,NA,NA,NA,0.122868873,NA,NA,NA,139,300,300,300,10388.2,1866.45,-0.00737534,-7.44,-,-,-,-,-,-,-,-,-,-,1500.17,1261.3539,0.840807308,0.161158105,6,0.5,0: Broadleaf,2,1634317384,393.787,400.118,15.462,13.2767,389.003,16.23,999.994,90.9489,0.103396,26.707,26.3379,999.9,0,0,10020,0,22.7575,-7.66028,398.619,405.501,2.17995,400.118,13.2767,1.40577,1.2075,11.98,9.6944,1500.17,0.973003,0.0269971,0,1677.85,5.00005,25099.4,12459.5,41.687,43.5,42.75,43.062,43.812,1454.8,40.37,0,96,0,1679.25,-4.736410272,-75.305983,25114.04231,15,1634317411,12:03:31,1634317405,1634317411,38,1.329,0.006,4.784,-0.768,400,13,0.44,0.03,-7.655833415,-0.006456167,0.028693945,1,2.170269024,0.051822021,0.005221293,1,2,2,2-Feb,3.82284,2.7068,0.087165,0.0890063,0.0789318,0.067882,26691,22479,26250.2,24076.6,41285.5,37034.9,47465.3,42916.9,2.69443,1.7173,0.134744,0,24.128,999.9,38.677,27.261,15.455,54.7711,48.6859,3,-0.221745,-0.512184,20.2466,5.23496,11.986,4.95715,3.30398,1053.4,9999,2722.8,14.2,1.86814,1.86386,1.87149,1.86224,1.86173,1.86823,1.85836,1.86481,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.784,-0.768,3.454741,0,0,0,-0.773305,0,0,0,-1,-1,-1,-1,2,2.2,1.52222,2.34863,2.64893,2.90039,2.84424,2.29614,32.4433,15.244,18,1191.8,354.252,25.0001,24.5026,30.0001,24.4238,24.3663,30.508,0,100,25,400,22.444,109.762,99.9498
38,r2_hn_yi,1634317501,6146,10/15/21 12:05,12:05:00,none,1634317501,0.003870939,3.870939209,8.613278581,393.923,300.5176132,27.3619066,35.86639804,0.175732128,2.753276942,0.169730234,0.106603566,241.7256719,27.12806682,26.2915,3.432901355,40.17945375,1.411636847,3.513330112,2.021264508,-170.7084191,58.305137,4.546803219,133.869193,0,0,1,0,47798.60041,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-140-20211015-12_05_00,10386.6,1556.783846,1769.07,0.11999873,0.5,1261.152,8.613278581,75.66831937,0.007622617,-1,NA,-,0,NA,NA,NA,NA,0.11999873,NA,NA,NA,140,300,300,300,10386.6,1721.07,-0.00737424,-6.18,-,-,-,-,-,-,-,-,-,-,1499.93,1261.152,0.840807238,0.161157969,6,0.5,0: Broadleaf,2,1634317501,393.923,400.006,15.5041,13.2175,389.121,16.2722,999.98,90.9444,0.104861,26.6843,26.2915,999.9,0,0,9926.25,0,22.7575,-6.08276,400.127,405.364,2.2865,400.006,13.2175,1.41001,1.20206,12.0257,9.62712,1499.93,0.973003,0.0269971,0,1547.54,5.00005,23119.7,12457.6,41.75,43.5,42.75,43.062,43.75,1454.57,40.36,0,115.8,0,1556.783846,-78.04649578,-1176.075215,23266.16923,15,1634317469,12:04:29,1634317464,1634317469,39,0.019,0,4.803,-0.768,400,13,0.47,0.04,-6.0697055,0.02021606,0.02882392,1,2.27982775,0.035122964,0.003569957,1,2,2,2-Feb,3.82282,2.70745,0.0871835,0.0889836,0.079081,0.0676553,26689.5,22479.4,26249.2,24076.5,41277.2,37044,47463.4,42916.9,2.6915,1.71723,0.135846,0,24.0632,999.9,38.53,27.261,15.398,56.3111,48.6979,3,-0.221822,-0.520479,20.2467,5.23511,11.986,4.9576,3.304,1056.6,9999,2722.8,14.2,1.86821,1.86386,1.87149,1.86227,1.86172,1.86815,1.85837,1.8648,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.802,-0.7681,4.80255,0,0,0,-0.768135,0,0,0,-1,-1,-1,-1,0.6,0.5,1.51733,2.34253,2.64893,2.90039,2.84424,2.33398,32.4433,15.2353,18,1187.89,354.188,24.9999,24.4946,30.0002,24.4156,24.3622,30.424,0,100,25,400,22.444,109.758,99.9496
39,r2_hn_yi,1634317621,6266,10/15/21 12:07,12:07:00,none,1634317621,0.003922486,3.922485522,10.55170518,592.282,475.4484208,43.28904478,53.92661097,0.178484853,2.765171238,0.172322645,0.108237579,241.7144999,27.07908858,26.2568,3.42587419,40.16524987,1.408398659,3.506510388,2.017475531,-172.9816115,58.8104472,4.564933134,132.1082687,0,0,1,0,48127.78677,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-141-20211015-12_07_00,10386,1480.0948,1689.67,0.124033214,0.5,1261.0932,10.55170518,78.20872111,0.009160073,-1,NA,-,0,NA,NA,NA,NA,0.124033214,NA,NA,NA,141,300,300,300,10386,1650.58,-0.00737366,-4.16,-,-,-,-,-,-,-,-,-,-,1499.86,1261.0932,0.840807275,0.161158041,6,0.5,0: Broadleaf,2,1634317621,592.282,600.007,15.4686,13.1515,586.788,16.2337,999.994,90.945,0.103877,26.6513,26.2568,999.9,0,0,9996.25,0,22.7575,-7.72498,601.587,608.003,2.31711,600.007,13.1515,1.40679,1.19606,11.991,9.55264,1499.86,0.973003,0.0269971,0,1476.5,5.00005,22058.6,12456.9,41.687,43.562,42.75,43.062,43.812,1454.5,40.36,0,119.5,0,1480.0948,-31.02076917,-468.0076913,22115.336,15,1634317589,12:06:29,1634317583,1634317589,40,0.691,0.003,5.494,-0.765,600,13,0.46,0.04,-7.7182275,0.053306116,0.043819494,1,2.3206285,-0.025463189,0.002781979,1,2,2,2-Feb,3.82284,2.70707,0.117935,0.119615,0.0789449,0.0674065,25791.1,21724,26249.5,24076.5,41284.5,37055.7,47463.8,42918.2,2.69177,1.71863,0.135288,0,24.0376,999.9,38.377,27.281,15.3541,55.2011,48.6659,3,-0.222711,-0.534891,20.2466,5.23301,11.986,4.95665,3.304,1060.2,9999,2722.8,14.2,1.86817,1.86385,1.87148,1.86219,1.86173,1.86814,1.85837,1.86479,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.494,-0.7651,5.49395,0,0,0,-0.765055,0,0,0,-1,-1,-1,-1,0.6,0.5,2.08862,2.34009,2.64893,2.89917,2.84424,2.35596,32.4433,15.2178,18,1188.09,354.834,24.9997,24.4858,30,24.4075,24.354,41.8273,0,100,25,600,22.444,109.759,99.9515
40,r2_hn_yi,1634317741,6386.5,10/15/21 12:09,12:09:01,none,1634317741,0.003684746,3.684745807,11.43169735,791.372,651.3764844,59.30925477,72.05615291,0.165614405,2.761825644,0.160288388,0.100644496,241.7559803,27.14615446,26.2646,3.427452688,39.62946508,1.38969314,3.506716876,2.037759548,-162.4972901,57.72680245,4.486445033,141.4719378,0,0,1,0,48036.50244,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-142-20211015-12_09_01,10385.7,1452.869615,1667.6,0.128766122,0.5,1261.311592,11.43169735,81.207101,0.009856167,-1,NA,-,0,NA,NA,NA,NA,0.128766122,NA,NA,NA,142,300,300,300,10385.7,1623.69,-0.00737352,-4.77,-,-,-,-,-,-,-,-,-,-,1500.12,1261.311592,0.84080713,0.161157761,6,0.5,0: Broadleaf,2,1634317741,791.372,799.981,15.2626,13.0854,785.19,16.029,999.956,90.9474,0.104789,26.6523,26.2646,999.9,0,0,9976.25,0,22.7575,-8.60852,803.638,810.588,2.17717,799.981,13.0854,1.38809,1.19008,11.7881,9.47805,1500.12,0.973009,0.0269914,0,1451.12,5.00005,21680.8,12459.2,41.75,43.562,42.812,43.125,43.812,1454.77,40.36,0,120,0,1452.869615,-15.66119657,-239.1111111,21708.01538,15,1634317705,12:08:24,1634317696,1634317705,41,0.689,-0.001,6.183,-0.766,800,13,0.21,0.05,-8.679809756,-0.001966411,0.037208928,1,2.193993659,-0.110085575,0.010934221,1,2,2,2-Feb,3.82279,2.7078,0.143874,0.145397,0.0782126,0.0671586,25032.3,21087.7,26248.6,24075.8,41317.5,37065,47462.6,42916.8,2.69263,1.72025,0.137959,0,24.0015,999.9,38.231,27.281,15.2952,56.3011,48.6498,3,-0.223039,-0.552669,20.2468,5.23391,11.986,4.957,3.304,1063.5,9999,2722.8,14.3,1.86819,1.86386,1.87149,1.86228,1.86172,1.86817,1.85837,1.86481,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,6.182,-0.7664,6.18275,0,0,0,-0.76646,0,0,0,-1,-1,-1,-1,0.8,0.6,2.61475,2.33154,2.64893,2.90039,2.84424,2.33521,32.4212,15.1827,18,1188.95,355.58,24.9997,24.4758,30.0001,24.3993,24.3438,52.3262,0,100,25,800,22.444,109.756,99.9485
